id,title,artist,genre,mood,energy,tempo_bpm,valence,danceability,acousticness
1,Sunrise City,Neon Echo,pop,happy,0.82,118,0.84,0.79,0.18
2,Midnight Coding,LoRoom,lofi,chill,0.42,78,0.56,0.62,0.71
3,Storm Runner,Voltline,rock,intense,0.91,152,0.48,0.66,0.10
4,Library Rain,Paper Lanterns,lofi,chill,0.35,72,0.60,0.58,0.86
5,Gym Hero,Max Pulse,pop,intense,0.93,132,0.77,0.88,0.05
6,Spacewalk Thoughts,Orbit Bloom,ambient,chill,0.28,60,0.65,0.41,0.92
7,Coffee Shop Stories,Slow Stereo,jazz,relaxed,0.37,90,0.71,0.54,0.89
8,Night Drive Loop,Neon Echo,synthwave,moody,0.75,110,0.49,0.73,0.22
9,Focus Flow,LoRoom,lofi,focused,0.40,80,0.59,0.60,0.78
10,Rooftop Lights,Indigo Parade,indie pop,happy,0.76,124,0.81,0.82,0.35
11,Golden Static,Saffron Tide,reggae,playful,0.64,96,0.83,0.77,0.44
12,Velvet Avenue,Mirror District,r&b,romantic,0.58,88,0.72,0.74,0.39
13,Marble Halls,North Archive,classical,peaceful,0.18,58,0.50,0.21,0.97
14,Neon Circuit,Byte Runner,electronic,driven,0.87,128,0.61,0.84,0.08
15,Dust and Daylight,Cinder Pines,country,nostalgic,0.46,84,0.68,0.57,0.81
16,Midtown Parade,Brass Theory,funk,groovy,0.79,116,0.86,0.89,0.23
17,Afterglow Letters,Harbor Ghosts,dream pop,dreamy,0.41,76,0.63,0.49,0.67
18,Paper Lantern Ride,Solstice Bloom,folk,reflective,0.33,70,0.58,0.43,0.91
19,Signal Lanterns,Atlas Bloom,trip hop,curious,0.52,92,0.46,0.68,0.48
20,Silver Horizon,Polar Avenue,post-rock,epic,0.69,104,0.57,0.38,0.55
21,Orbit Classroom,Luma Vista,chiptune,quirky,0.73,126,0.74,0.81,0.12
22,Window Seat,Maple Thread,soul,warm,0.49,86,0.79,0.64,0.58
23,Cathedral Echoes,Aster Vale,choral,serene,0.22,54,0.52,0.18,0.98
24,Glass Alleys,Metro Shade,house,confident,0.84,124,0.71,0.87,0.09
"25","Track25","Quiet Voltage","jazz","curious","0.28","135","0.48","0.88","0.82"
"26","Track26","Echo Harbor","r&b","happy","0.63","89","0.83","0.28","0.69"
"27","Track27","Echo Harbor","jazz","peaceful","0.56","89","0.40","0.73","0.65"
"28","Track28","Paper Orbit","country","focused","0.43","120","0.80","0.59","0.07"
"29","Track29","Pulse Theory","electronic","reflective","0.18","119","0.81","0.29","0.20"
"30","Track30","Blue Arcade","country","moody","0.80","156","0.52","0.30","0.38"
"31","Track31","Echo Harbor","k-pop","reflective","0.30","64","0.83","0.77","0.66"
"32","Track32","Cloud District","drum and bass","dreamy","0.45","71","0.69","0.30","0.46"
"33","Track33","Paper Orbit","country","serene","0.41","88","0.44","0.42","0.30"
"34","Track34","Echo Harbor","ambient","quirky","0.34","86","0.57","0.62","0.28"
"35","Track35","Pulse Theory","electronic","warm","0.84","92","0.43","0.72","0.27"
"36","Track36","Silver Vale","folk","peaceful","0.56","73","0.51","0.86","0.18"
"37","Track37","Paper Orbit","latin pop","romantic","0.29","130","0.73","0.57","0.22"
"38","Track38","Velvet Engine","drum and bass","happy","0.70","58","0.65","0.60","0.47"
"39","Track39","Quiet Voltage","folk","groovy","0.25","65","0.50","0.72","0.75"
"40","Track40","Cloud District","lofi","reflective","0.19","74","0.46","0.33","0.71"
"41","Track41","Blue Arcade","jazz","groovy","0.51","67","0.48","0.90","0.13"
"42","Track42","Quiet Voltage","latin pop","intense","0.72","152","0.90","0.36","0.13"
"43","Track43","Midnight Atlas","indie pop","reflective","0.84","101","0.39","0.28","0.56"
"44","Track44","Blue Arcade","afrobeat","confident","0.64","119","0.55","0.29","0.72"
"45","Track45","Golden Transit","country","curious","0.28","102","0.83","0.73","0.28"
"46","Track46","Golden Transit","house","serene","0.42","111","0.53","0.86","0.06"
"47","Track47","Urban Meadow","pop","peaceful","0.81","135","0.90","0.67","0.33"
"48","Track48","Midnight Atlas","post-rock","curious","0.80","143","0.75","0.43","0.04"
"49","Track49","Lunar Static","pop","groovy","0.75","135","0.52","0.64","0.86"
"50","Track50","Urban Meadow","k-pop","focused","0.82","70","0.59","0.28","0.07"
"51","Track51","Urban Meadow","blues","chill","0.30","161","0.69","0.59","0.18"
"52","Track52","Maple Noise","rock","groovy","0.92","135","0.84","0.76","0.74"
"53","Track53","Lunar Static","electronic","curious","0.19","58","0.37","0.57","0.14"
"54","Track54","Echo Harbor","funk","epic","0.88","100","0.91","0.55","0.16"
"55","Track55","Cloud District","house","intense","0.72","132","0.73","0.37","0.38"
"56","Track56","Golden Transit","house","warm","0.46","147","0.52","0.63","0.36"
"57","Track57","Pulse Theory","reggae","serene","0.90","151","0.85","0.67","0.20"
"58","Track58","Midnight Atlas","post-rock","epic","0.90","103","0.55","0.37","0.06"
"59","Track59","Echo Harbor","jazz","driven","0.66","116","0.73","0.90","0.05"
"60","Track60","Velvet Engine","afrobeat","dreamy","0.40","106","0.48","0.71","0.16"
"61","Track61","Velvet Engine","ambient","serene","0.32","112","0.63","0.77","0.86"
"62","Track62","Cloud District","afrobeat","chill","0.41","157","0.82","0.38","0.68"
"63","Track63","Signal Bloom","reggae","driven","0.86","147","0.42","0.48","0.31"
"64","Track64","Nova Drift","ambient","driven","0.58","83","0.68","0.72","0.70"
"65","Track65","Urban Meadow","electronic","curious","0.74","125","0.65","0.37","0.23"
"66","Track66","Echo Harbor","indie pop","dreamy","0.66","109","0.55","0.70","0.20"
"67","Track67","Silver Vale","jazz","nostalgic","0.70","157","0.45","0.43","0.16"
"68","Track68","Cloud District","funk","chill","0.60","56","0.69","0.31","0.85"
"69","Track69","Nova Drift","chiptune","relaxed","0.23","76","0.63","0.32","0.07"
"70","Track70","Paper Orbit","ambient","nostalgic","0.76","68","0.50","0.89","0.58"
"71","Track71","Echo Harbor","funk","serene","0.78","98","0.51","0.86","0.16"
"72","Track72","Nova Drift","post-rock","quirky","0.52","74","0.52","0.42","0.89"
"73","Track73","Nova Drift","country","reflective","0.62","66","0.74","0.52","0.37"
"74","Track74","Cloud District","ambient","quirky","0.81","144","0.76","0.34","0.64"
"75","Track75","Quiet Voltage","rock","nostalgic","0.54","154","0.88","0.28","0.19"
